block,reserve0,reserve1,tick,activeTick,sqrtPriceX96,liquidity,tCOIN/USDC amountIn,tCOIN/USDC amountOut,tCOIN/USDC actualPrice,tCOIN/USDC priceImpact,USDC/tCOIN amountIn,USDC/tCOIN amountOut,USDC/tCOIN actualPrice,USDC/tCOIN priceImpact
38913517,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38913617,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38913717,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38913817,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38913917,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38914017,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38914117,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38914217,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38914317,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38914417,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38914517,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38914617,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38914717,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
38914817,257.999999,0.999999996123985566,220791,220600,4932529947962330849535054193767001,16062378341951,1,128.806209,128.806209,0.5007511279069767,1,0.003849465437766167,0.003849465437766167,0.006837917056328857
